,Movie,Description,Release Date,Director,Rating,Duration,Genre,Stars
36,The Raid,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,2011,Gareth Evans,7.6,101 min,"Action, Thriller","Iko Uwais, Ananda George, Ray Sahetapy, Donny Alamsyah"
37,The Raid ,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",2014,Gareth Evans,8,150 min,"Action, Crime, Thriller","Iko Uwais, Yayan Ruhian, Arifin Putra, Oka An"
38,Mission: Impossible - Phantom Protokoll,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",2011,Brad Bird,7.4,132 min,"Action, Adventure, Thriller","Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton"
39, Hours(I) ,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",2008,Pierre Morel,7.8,90 min,"Action, Crime, Thriller","Liam Neeson, Maggie Grace, Famke Janssen, Leland Orse"
40,Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010,Christopher Nolan,8.8,148 min,"Action, Adventure, Sci-Fi","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe"
41,Léon: Der Profi,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1994,Luc Besson,8.5,110 min,"Action, Crime, Drama","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
42,Heat,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,1995,Michael Mann,8.2,170 min,"Action, Crime, Drama","Al Pacino, Robert De Niro, Val Kilmer, Jon Voigh"
43,Terminator,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",1984,James Cameron,8,107 min,"Action, Sci-Fi","Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
44,Top Gun,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",1986,Tony Scott,6.9,110 min,"Action, Drama","Tom Cruise, Tim Robbins, Kelly McGillis, Val Kilme"
45,Auf der Flucht,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",1993,Andrew Davis,7.8,130 min,"Action, Crime, Drama","Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore"
46,Last Boy Scout - Das Ziel ist Überleben,"A private detective's protected female witness is murdered, prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner.",1991,Tony Scott,7,105 min,"Action, Comedy, Crime","Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham"
47,Running Man,"In a dystopian America, a falsely convicted policeman gets his shot at freedom when he must forcibly participate in a TV game show where convicts, runners, must battle killers for their freedom.",1987,Paul Michael Glaser,6.7,101 min,"Action, Sci-Fi, Thriller","Arnold Schwarzenegger, Maria Conchita Alonso, Yaphet Kotto, Jim Brown"
48,Tango und Cash,"Framed by their ruthless arch-nemesis, a mismatched LAPD crime-fighting duo has to put its differences aside to even the score with the evil kingpin who put them behind bars once and for all.",1989,"s:
Andrey Konchalovskiy, 
Albert Magnoli",6.4,104 min,"Action, Comedy, Crime","Sylvester Stallone, Kurt Russell, Teri Hatcher, Jack Palance"
49,Alarmstufe: Rot,An ex-Navy Seal turned cook is the only person who can stop a group of terrorists when they seize control of a U.S. battleship.,1992,Andrew Davis,6.5,103 min,"Action, Thriller","Steven Seagal, Gary Busey, Tommy Lee Jones, Erika Eleniak"
50,Rambo II Der Auftrag,Rambo returns to the jungles of Vietnam on a mission to infiltrate an enemy base-camp and rescue the American POWs still held captive there.,1985,George P. Cosmatos,6.5,96 min,"Action, Adventure, Thriller","Sylvester Stallone, Richard Crenna, Charles Napier, Steven Berkoff"
51,Demolition Man,A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,1993,Marco Brambilla,6.7,115 min,"Action, Sci-Fi, Thriller","Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne"
52,Cliffhanger - Nur die Starken überleben,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,1993,Renny Harlin,6.5,113 min,"Action, Adventure, Thriller","Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turne"
53,Independence Day,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",1996,Roland Emmerich,7,145 min,"Action, Adventure, Sci-Fi","Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell"
54,Tödliche Weihnachten,"Samantha Caine lives in a small town with her daughter. Eight years ago she emerged, two months pregnant, from a nearby river with no memory of her past or who she is. However, she's getting closer to finding out about her past.",1996,Renny Harlin,6.8,121 min,"Action, Crime, Drama","Geena Davis, Samuel L. Jackson, Yvonne Zima, Craig Bierko"
55,Armageddon - Das jüngste Gericht,"After discovering that an asteroid the size of Texas is going to impact Earth in less than a month, NASA recruits a misfit team of deep-core drillers to save the planet.",1998,Michael Bay,6.7,151 min,"Action, Adventure, Sci-Fi","Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyle"
56,Air Force One,"Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board.",1997,Wolfgang Petersen,6.5,124 min,"Action, Drama, Thriller","Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson"
